,NODE_ID,LATITUDE,LONGITUDE,geometry,demand_21,LMP_21,gen_21
2740,5573,28.74468503,-96.42164275,POINT (-96.42164275 28.74468503),1,0,0
2741,5574,28.72050326,-96.46796132,POINT (-96.46796132 28.72050326),0,0,0
2742,5576,28.6898,-96.45835,POINT (-96.45835 28.6898),1,0,0
2743,5579,28.765927,-96.592386,POINT (-96.592386 28.765927),1,0,0
2744,5580,28.765927,-96.592386,POINT (-96.592386 28.765927),0,0,0
2745,5582,28.80584828,-96.64583953,POINT (-96.64583953 28.80584828),0,0,0
2746,5584,28.80584828,-96.64583953,POINT (-96.64583953 28.80584828),0,0,0
2747,5585,28.805084,-96.646518,POINT (-96.646518 28.805084),1,0,0
2748,5586,28.805084,-96.646518,POINT (-96.646518 28.805084),1,0,0
2749,5588,28.88639732,-96.52487838,POINT (-96.52487838 28.88639732),1,0,0
2750,5590,28.7232,-96.78093,POINT (-96.78093 28.7232),1,0,0
2751,5591,28.64902,-96.73199,POINT (-96.73199 28.64902),1,0,0
2752,5592,28.57484,-96.68305,POINT (-96.68305 28.57484),0,0,0
2753,5593,28.58673,-96.68376,POINT (-96.68376 28.58673),1,1,1
2754,5596,28.43335,-96.45955,POINT (-96.45955 28.43335),1,0,0
2755,5598,28.41662514,-96.66779988,POINT (-96.66779988 28.41662514),1,0,0
2756,5600,28.74901,-96.88509,POINT (-96.88509 28.74901),1,0,0
2757,5601,28.793952,-96.9398315,POINT (-96.9398315 28.793952),1,0,0
2758,5602,28.838894,-96.994573,POINT (-96.994573 28.838894),0,0,0
2759,5603,28.838894,-96.994573,POINT (-96.994573 28.838894),1,0,0
2760,5604,28.86273,-96.98971,POINT (-96.98971 28.86273),1,0,0
2761,5605,28.59831348,-97.04744479,POINT (-97.04744479 28.59831348),0,0,0
2762,5606,28.805073,-97.076824,POINT (-97.076824 28.805073),1,0,0
2763,5607,28.59831348,-97.04744479,POINT (-97.04744479 28.59831348),0,0,0
2764,5608,28.5386,-97.03084,POINT (-97.03084 28.5386),1,0,0
2765,5610,28.29367,-97.11805,POINT (-97.11805 28.29367),1,0,0
2766,5614,28.1845231,-97.31361438,POINT (-97.31361438 28.1845231),1,0,0
2767,5616,27.940799,-97.476329,POINT (-97.476329 27.940799),1,0,0
2768,5618,27.9697079,-97.47291756,POINT (-97.47291756 27.9697079),1,0,0
2769,5620,28.028552,-97.513029,POINT (-97.513029 28.028552),0,0,0
2770,5622,28.028552,-97.513029,POINT (-97.513029 28.028552),1,0,0
2771,5626,27.84931654,-97.646084,POINT (-97.646084 27.84931654),1,0,0
2772,5630,27.800492,-97.661722,POINT (-97.661722 27.800492),1,0,0
2773,5632,27.82780349,-97.65297441,POINT (-97.65297441 27.82780349),1,0,0
2774,5634,27.800492,-97.661722,POINT (-97.661722 27.800492),1,0,0
2775,5636,27.81464202,-97.42864421,POINT (-97.42864421 27.81464202),0,0,0
2776,5638,27.81464202,-97.42864421,POINT (-97.42864421 27.81464202),1,0,0
2777,5639,27.81464202,-97.42864421,POINT (-97.42864421 27.81464202),0,0,0
2778,5640,27.594646,-97.771873,POINT (-97.771873 27.594646),1,0,0
2779,5642,27.64619614,-97.83831729,POINT (-97.83831729 27.64619614),1,0,0
2780,5643,27.64619614,-97.83831729,POINT (-97.83831729 27.64619614),1,0,0
2781,5645,27.460318,-97.770714,POINT (-97.770714 27.460318),1,0,0
2782,5646,27.284884,-97.809361,POINT (-97.809361 27.284884),1,0,0
2783,5648,27.317466,-97.809367,POINT (-97.809367 27.317466),1,0,0
2784,5650,27.317466,-97.809367,POINT (-97.809367 27.317466),0,0,0
2785,5652,27.657723,-97.890371,POINT (-97.890371 27.657723),1,0,0
2786,5653,27.68737766,-98.0689912,POINT (-98.0689912 27.68737766),1,0,0
2787,5654,27.73011,-98.25167,POINT (-98.25167 27.73011),1,0,0
2788,5658,27.91895358,-97.961413,POINT (-97.961413 27.91895358),0,0,0
